AttendanceID,StudentID,CourseID,Date,AttendanceStatus
A3001,STU1004,C122,2023/12/14,late 
A3002,STU1004,C105,28-Oct-2023,Late
A3003,STU1004,C127,11-20-2024,late 
A3004,STU1004,C126,2023/06/15,ABSENT
A3005,STU1004,C110,2024-12-08,late 
A3006,STU1004,C105,27/06/2023,present
A3007,STU1004,C120,2024-05-18,Late
A3008,STU1053,C110,29/08/2023,Present
A3009,STU1053,C101,01-03-2024,A
A3010,STU1053,C122,12/06/2023,Present
A3011,STU1053,C126,03-07-2023,Late
A3012,STU1053,C104,24/09/2024,Absent
A3013,STU1053,C118,18-Aug-2023,P
A3014,STU1197,C126,2023-12-30,P
A3015,STU1197,C105,2024/12/07,Absent
A3016,STU1197,C123,21-Feb-2023,late 
A3017,STU1197,C127,2023-04-24,Absent
A3018,STU1197,C127,2024-07-29,Absent
A3019,STU1175,C121,01/05/2023,A
A3020,STU1175,C106,27-Oct-2023,late 
A3021,STU1175,C124,12/04/2023,A
A3022,STU1175,C111,2023-05-22,ABSENT
A3023,STU1145,C114,07/01/2023,late 
A3024,STU1145,C111,2023/10/21,present
A3025,STU1145,C103,09-30-2023,Late
A3026,STU1145,C112,06/10/2024,present
A3027,STU1145,C125,26-Jun-2024,ABSENT
A3028,STU1145,C105,15-Mar-2024,Late
A3029,STU1143,C117,11-29-2024,Present
A3030,STU1143,C115,2023-05-30,Absent
A3031,STU1143,C103,12-13-2023,Late
A3032,STU1143,C125,18-Jun-2023,Present
A3033,STU1143,C113,07/02/2023,Present
A3034,STU1143,C121,2024/12/31,P
A3035,STU1059,C113,2024/11/28,P
A3036,STU1059,C124,11-18-2023,Present
A3037,STU1059,C127,2023/10/14,present
A3038,STU1059,C123,18-Feb-2024,ABSENT
A3039,STU1059,C118,2024/10/01,late 
A3040,STU1059,C123,20-Dec-2023,ABSENT
A3041,STU1147,C103,2023/02/07,A
A3042,STU1147,C113,2023/05/10,P
A3043,STU1147,C107,2023/04/06,P
A3044,STU1147,C117,15/12/2023,Present
A3045,STU1147,C101,2024/07/06,P
A3046,STU1012,C127,08-Nov-2023,Absent
A3047,STU1012,C124,03-03-2023,P
A3048,STU1012,C121,06-03-2024,Absent
A3049,STU1012,C102,2024-10-28,late 
A3050,STU1095,C119,06-Jan-2023,A
A3051,STU1095,C108,2024/08/18,ABSENT
A3052,STU1095,C112,11-03-2023,present
A3053,STU1095,C123,2024/01/22,ABSENT
A3054,STU1095,C104,2023/12/02,ABSENT
A3055,STU1157,C115,11/04/2023,Late
A3056,STU1157,C127,2024-02-26,Absent
A3057,STU1157,C102,11/03/2024,late 
A3058,STU1157,C107,2024-04-01,A
A3059,STU1157,C122,22-Jun-2024,Late
A3060,STU1182,C119,25-May-2024,late 
A3061,STU1182,C123,16-May-2024,present
A3062,STU1182,C105,01/06/2024,late 
A3063,STU1182,C123,13/04/2024,Absent
A3064,STU1182,C123,06-Aug-2023,late 
A3065,STU1139,C124,2023/06/10,A
A3066,STU1139,C104,08-Sep-2024,Absent
A3067,STU1139,C104,2024/01/14,P
A3068,STU1140,C117,2023-06-06,A
A3069,STU1140,C110,01-19-2024,P
A3070,STU1140,C116,29/01/2023,present
A3071,STU1015,C114,02-19-2023,P
A3072,STU1015,C107,07-Jul-2023,Present
A3073,STU1015,C104,07-14-2024,Absent
A3074,STU1015,C102,03-Mar-2024,P
A3075,STU1015,C119,04-08-2024,Late
A3076,STU1015,C116,12/09/2024,present
A3077,STU1015,C117,13-Oct-2024,late 
A3078,STU1025,C115,06-02-2023,Absent
A3079,STU1025,C126,2024/10/01,Late
A3080,STU1025,C113,27-Aug-2023,A
A3081,STU1025,C118,16-Feb-2023,P
A3082,STU1025,C121,01/04/2023,Present
A3083,STU1025,C119,10-07-2024,Absent
A3084,STU1025,C121,2024-07-26,ABSENT
A3085,STU1025,C120,2024/07/08,Present
A3086,STU1101,C117,13-Jul-2023,Present
A3087,STU1101,C104,2024/11/05,present
A3088,STU1101,C101,09/10/2023,ABSENT
A3089,STU1101,C127,2024/12/23,late 
A3090,STU1101,C103,2024/06/30,A
A3091,STU1101,C113,2024-08-26,late 
A3092,STU1101,C101,15-Dec-2023,present
A3093,STU1051,C101,06-24-2024,Late
A3094,STU1051,C109,2023-04-04,Absent
A3095,STU1051,C118,06-22-2023,present
A3096,STU1051,C106,2023-09-19,present
A3097,STU1051,C110,22/02/2024,Present
A3098,STU1051,C120,30/11/2023,Present
A3099,STU1141,C102,02-Nov-2023,Absent
A3100,STU1141,C111,26-May-2023,A
A3101,STU1141,C109,2024-01-20,Present
A3102,STU1141,C107,2023/09/03,ABSENT
A3103,STU1141,C116,2024/06/04,Late
A3104,STU1141,C104,2023-10-03,A
A3105,STU1141,C115,20-Jul-2024,Absent
A3106,STU1141,C116,30-Jan-2023,ABSENT
A3107,STU1133,C109,2024/07/21,Absent
A3108,STU1133,C108,22/07/2024,P
A3109,STU1133,C119,21-Feb-2024,Absent
A3110,STU1155,C117,28/07/2023,A
A3111,STU1155,C118,22/06/2023,Late
A3112,STU1155,C118,2024-04-07,Present
A3113,STU1155,C127,2024/04/20,P
A3114,STU1155,C121,2023-06-21,Present
A3115,STU1155,C116,2023/10/07,P
A3116,STU1155,C127,27-Nov-2024,A
A3117,STU1155,C127,09/10/2024,P
A3118,STU1135,C106,2024/06/30,Absent
A3119,STU1135,C110,02-Apr-2023,Absent
A3120,STU1135,C127,2023/05/24,P
A3121,STU1099,C107,2024/09/17,A
A3122,STU1099,C122,12-17-2023,late 
A3123,STU1099,C109,09-09-2023,A
A3124,STU1099,C107,2024/04/15,A
A3125,STU1099,C101,09/12/2024,Present
A3126,STU1099,C120,2024-05-02,Present
A3127,STU1188,C106,2024/02/28,late 
A3128,STU1188,C125,2024/02/07,Absent
A3129,STU1188,C126,2024-10-26,Present
A3130,STU1188,C127,18-Nov-2024,Absent
A3131,STU1188,C112,2024/01/21,A
A3132,STU1188,C113,2023-07-01,Absent
A3133,STU1188,C115,15/01/2024,late 
A3134,STU1188,C101,2023-08-15,P
A3135,STU1020,C123,02/01/2024,Absent
A3136,STU1020,C127,09-20-2024,ABSENT
A3137,STU1020,C108,05-20-2024,Present
A3138,STU1020,C109,2024/05/19,ABSENT
A3139,STU1020,C101,20-Jul-2023,Absent
A3140,STU1020,C109,2024/08/05,late 
A3141,STU1020,C106,19/07/2024,present
A3142,STU1020,C103,25/08/2024,Absent
A3143,STU1222,C109,06/08/2024,P
A3144,STU1222,C107,2024-11-25,P
A3145,STU1222,C122,27-Jul-2024,Present
A3146,STU1222,C114,2024-10-18,A
A3147,STU1094,C114,2023-10-08,late 
A3148,STU1094,C116,2024/01/06,Present
A3149,STU1094,C124,2023-08-18,P
A3150,STU1094,C114,29-Jun-2024,A
A3151,STU1094,C101,06/02/2024,A
A3152,STU1094,C103,2024-08-08,ABSENT
A3153,STU1129,C114,18/03/2023,ABSENT
A3154,STU1129,C106,12-04-2023,Absent
A3155,STU1129,C121,2024-10-02,Present
A3156,STU1129,C116,2024-03-18,A
A3157,STU1129,C127,14/09/2023,Absent
A3158,STU1129,C116,09-02-2023,Present
A3159,STU1129,C127,2023/12/08,ABSENT
A3160,STU1129,C103,2024/09/06,late 
A3161,STU1171,C121,2024/04/02,Absent
A3162,STU1171,C103,2023-03-04,Late
A3163,STU1171,C111,2024-12-11,present
A3164,STU1138,C126,2024-03-28,P
A3165,STU1138,C120,03-Oct-2024,Absent
A3166,STU1138,C104,2024-11-24,Present
A3167,STU1106,C113,2024-02-16,Late
A3168,STU1106,C108,2024/09/05,Present
A3169,STU1106,C115,29-Jan-2024,Late
A3170,STU1106,C120,2024-09-26,A
A3171,STU1106,C121,2024-11-22,late 
A3172,STU1070,C111,24/08/2024,Absent
A3173,STU1070,C104,2023/01/13,Absent
A3174,STU1070,C119,2023/07/18,present
A3175,STU1070,C121,06-05-2024,A
A3176,STU1070,C114,2024/05/07,late 
A3177,STU1070,C106,06/09/2023,Present
A3178,STU1070,C102,05-11-2023,Late
A3179,STU1148,C121,01-02-2024,present
A3180,STU1148,C105,04-25-2024,A
A3181,STU1148,C110,2024-01-13,present
A3182,STU1148,C102,2023/09/01,Present
A3183,STU1148,C114,19/12/2023,ABSENT
A3184,STU1148,C121,2023-07-26,A
A3185,STU1148,C107,14-Nov-2024,late 
A3186,STU1072,C123,2023/12/06,A
A3187,STU1072,C120,03-Nov-2023,A
A3188,STU1072,C106,18-Apr-2023,Present
A3189,STU1072,C116,2023-08-13,ABSENT
A3190,STU1072,C123,24-Aug-2023,ABSENT
A3191,STU1072,C108,05-07-2024,Late
A3192,STU1072,C107,14/02/2024,Present
A3193,STU1102,C101,03-17-2023,Present
A3194,STU1102,C118,28/04/2023,P
A3195,STU1102,C115,2023/07/19,A
A3196,STU1102,C102,31/01/2023,ABSENT
A3197,STU1102,C110,28/06/2023,P
A3198,STU1165,C106,2023/12/14,ABSENT
A3199,STU1165,C106,2023-07-20,present
A3200,STU1165,C127,2023-09-26,Present
A3201,STU1165,C127,24/11/2024,Late
A3202,STU1165,C121,04-24-2023,ABSENT
A3203,STU1165,C110,12/04/2024,A
A3204,STU1165,C126,17/01/2024,Late
A3205,STU1165,C123,2023-03-08,present
A3206,STU1151,C126,14/07/2023,Late
A3207,STU1151,C123,01-19-2024,Late
A3208,STU1151,C121,2023-09-08,ABSENT
A3209,STU1151,C118,29/10/2023,A
A3210,STU1213,C102,10-06-2024,present
A3211,STU1213,C117,21-Aug-2024,ABSENT
A3212,STU1213,C124,25-Mar-2023,Absent
A3213,STU1213,C106,04-Jun-2024,A
A3214,STU1005,C117,20/04/2024,A
A3215,STU1005,C123,2024/01/18,late 
A3216,STU1005,C123,21-May-2024,P
A3217,STU1005,C119,2024/02/15,Present
A3218,STU1005,C107,13/08/2023,late 
A3219,STU1005,C108,10/02/2024,P
A3220,STU1179,C113,08/08/2024,A
A3221,STU1179,C109,2024-07-17,present
A3222,STU1179,C125,03-28-2023,late 
A3223,STU1179,C117,27/12/2023,Present
A3224,STU1179,C115,2024/06/08,A
A3225,STU1179,C114,06-Apr-2024,Late
A3226,STU1096,C112,05-24-2024,P
A3227,STU1096,C113,26/01/2023,late 
A3228,STU1096,C108,2023-09-29,A
A3229,STU1096,C103,2023/10/29,Absent
A3230,STU1096,C126,11/10/2023,Absent
A3231,STU1096,C104,03-15-2023,Present
A3232,STU1132,C107,08/12/2023,A
A3233,STU1132,C109,11-06-2023,ABSENT
A3234,STU1132,C123,10/09/2024,P
A3235,STU1132,C101,11-03-2023,A
A3236,STU1132,C126,18-Feb-2024,Present
A3237,STU1132,C116,2024/10/31,present
A3238,STU1132,C113,22/08/2023,ABSENT
A3239,STU1186,C108,2024/06/12,late 
A3240,STU1186,C124,04-17-2024,Absent
A3241,STU1186,C111,12-Jul-2023,Late
A3242,STU1186,C107,25-Mar-2024,Present
A3243,STU1186,C112,2023/05/23,present
A3244,STU1186,C110,10-Jan-2023,A
A3245,STU1167,C108,05-Mar-2024,Late
A3246,STU1167,C125,2024/12/08,P
A3247,STU1167,C111,2024-08-24,Present
A3248,STU1167,C105,06-07-2023,Late
A3249,STU1167,C113,29-Jul-2023,Absent
A3250,STU1203,C113,12-Jul-2023,Absent
A3251,STU1203,C111,06-Aug-2024,P
A3252,STU1203,C103,2023-06-25,present
A3253,STU1203,C102,2024/12/06,late 
A3254,STU1203,C101,11/07/2023,Absent
A3255,STU1203,C113,18/10/2023,ABSENT
A3256,STU1203,C110,2024/11/06,Absent
A3257,STU1014,C102,2024/01/13,Present
A3258,STU1014,C106,01-Dec-2023,Late
A3259,STU1014,C106,24/04/2023,Late
A3260,STU1014,C116,12-Mar-2023,ABSENT
A3261,STU1014,C105,07-30-2023,Late
A3262,STU1014,C127,27-Dec-2024,present
A3263,STU1007,C119,2023/11/14,ABSENT
A3264,STU1007,C117,02-Dec-2024,P
A3265,STU1007,C107,08/01/2023,late 
A3266,STU1007,C103,2024/02/13,ABSENT
A3267,STU1007,C117,2023/12/03,late 
A3268,STU1007,C115,2024/04/18,Present
A3269,STU1007,C124,04-04-2023,late 
A3270,STU1161,C123,12-29-2024,Late
A3271,STU1161,C120,29-Jun-2023,ABSENT
A3272,STU1161,C106,24-Sep-2024,late 
A3273,STU1161,C113,05/11/2024,Absent
A3274,STU1161,C113,2024-12-16,ABSENT
A3275,STU1064,C109,2024/10/05,P
A3276,STU1064,C122,10/03/2023,late 
A3277,STU1064,C114,2024-07-20,A
A3278,STU1064,C103,2023/04/18,A
A3279,STU1183,C115,06-18-2023,ABSENT
A3280,STU1183,C117,15-Feb-2023,Present
A3281,STU1183,C103,16-Oct-2024,Late
A3282,STU1183,C111,13/02/2024,Late
A3283,STU1183,C102,01-11-2023,Absent
A3284,STU1183,C123,05-20-2023,late 
A3285,STU1212,C115,2023-03-11,ABSENT
A3286,STU1212,C123,24/03/2024,late 
