EnrollmentID,StudentID,CourseID,Semester,Marks,Grade
E2001,STU1076,C118,fall 2022,,a
E2002,STU1076,C113,FALL2022,105.0,
E2003,STU1076,C103,Fall 2023,75.0,B
E2004,STU1076,C112,Fall 2022,68.0,D
E2005,STU1076,C108,Fall 2022,,b
E2006,STU1096,C109,Spring2023,,
E2007,STU1096,C118,Fall 2023,68.0,F
E2008,STU1096,C124,Fall 2022,105.0,B
E2009,STU1096,C110,Fall 2022,105.0,
E2010,STU1096,C101,Fall 2023,44.0,D
E2011,STU1037,C127,Fall 2023,-5.0,B
E2012,STU1037,C104,Fall 2023,83.0,Incomplete
E2013,STU1037,C107,Fall 2022,61.0,B
E2014,STU1037,C118,Fall 2022,,
E2015,STU1037,C123,FALL2022,92.0,F
E2016,STU1167,C115,Fall 2022,41.0,
E2017,STU1167,C121,Fall 2023,105.0,B
E2018,STU1167,C113,Spring2023,77.0,a
E2019,STU1167,C114,fall 2022,,B
E2020,STU1167,C111,FALL2022,-5.0,b
E2021,STU1197,C116,Spring2023,54.0,b
E2022,STU1197,C106,Fall 2023,80.0,F
E2023,STU1032,C101,Spring2023,105.0,b
E2024,STU1032,C118,Spring 2023,75.0,F
E2025,STU1032,C105,FALL2022,,D
E2026,STU1032,C104,Spring 2023,105.0,C
E2027,STU1201,C108,Fall 2023,56.0,C
E2028,STU1201,C120,FALL2022,91.0,
E2029,STU1201,C127,Fall 2023,81.0,F
E2030,STU1211,C109,fall 2022,105.0,Incomplete
E2031,STU1211,C104,fall 2022,48.0,B
E2032,STU1184,C107,Fall 2023,,F
E2033,STU1184,C111,fall 2022,105.0,a
E2034,STU1002,C106,fall 2022,-5.0,F
E2035,STU1002,C101,FALL2022,,Incomplete
E2036,STU1002,C111,Spring2023,,Incomplete
E2037,STU1002,C108,fall 2022,105.0,B
E2038,STU1002,C126,Spring 2023,92.0,
E2039,STU1166,C124,Spring2023,94.0,b
E2040,STU1166,C121,fall 2022,53.0,
E2041,STU1166,C103,Fall 2023,105.0,Incomplete
E2042,STU1166,C101,Spring 2023,,b
E2043,STU1139,C105,Fall 2023,105.0,A
E2044,STU1139,C115,Spring2023,105.0,C
E2045,STU1139,C117,Spring2023,68.0,C
E2046,STU1139,C103,fall 2022,76.0,Incomplete
E2047,STU1190,C108,fall 2022,71.0,F
E2048,STU1190,C125,fall 2022,42.0,
E2049,STU1224,C116,Fall 2023,105.0,F
E2050,STU1224,C115,FALL2022,105.0,C
E2051,STU1224,C102,Spring2023,,B
E2052,STU1224,C121,FALL2022,64.0,
E2053,STU1224,C111,FALL2022,,Incomplete
E2054,STU1208,C117,Spring2023,50.0,B
E2055,STU1208,C105,Spring 2023,57.0,C
E2056,STU1074,C112,fall 2022,47.0,b
E2057,STU1074,C120,FALL2022,-5.0,Incomplete
E2058,STU1074,C123,Fall 2022,77.0,b
E2059,STU1137,C102,Fall 2022,50.0,
E2060,STU1137,C105,Spring 2023,76.0,A
E2061,STU1137,C119,FALL2022,99.0,
E2062,STU1055,C124,FALL2022,92.0,D
E2063,STU1055,C122,Spring 2023,-5.0,C
E2064,STU1193,C120,fall 2022,105.0,
E2065,STU1193,C105,Spring2023,,Incomplete
E2066,STU1193,C126,FALL2022,44.0,b
E2067,STU1193,C119,Spring2023,48.0,D
E2068,STU1193,C127,Spring 2023,105.0,b
E2069,STU1042,C106,Spring2023,105.0,A
E2070,STU1042,C116,FALL2022,72.0,B
E2071,STU1070,C120,FALL2022,-5.0,
E2072,STU1070,C118,FALL2022,63.0,
E2073,STU1070,C127,fall 2022,-5.0,b
E2074,STU1140,C114,fall 2022,70.0,B
E2075,STU1140,C105,fall 2022,105.0,b
E2076,STU1100,C101,Fall 2022,105.0,
E2077,STU1100,C123,Fall 2023,-5.0,D
E2078,STU1100,C124,Fall 2022,-5.0,a
E2079,STU1036,C114,Spring2023,105.0,b
E2080,STU1036,C121,Spring 2023,,b
E2081,STU1036,C119,Spring 2023,105.0,Incomplete
E2082,STU1131,C118,Fall 2023,-5.0,C
E2083,STU1131,C116,Fall 2023,87.0,Incomplete
E2084,STU1131,C109,Spring2023,100.0,D
E2085,STU1131,C110,Spring2023,,
E2086,STU1030,C106,FALL2022,80.0,C
E2087,STU1030,C113,Fall 2022,-5.0,B
E2088,STU1011,C108,Spring2023,-5.0,b
E2089,STU1011,C112,Spring 2023,,A
E2090,STU1011,C103,Spring 2023,-5.0,A
E2091,STU1011,C120,Spring 2023,105.0,F
E2092,STU1151,C126,Fall 2023,73.0,C
E2093,STU1151,C120,Spring 2023,63.0,A
E2094,STU1040,C109,Spring2023,-5.0,b
E2095,STU1040,C125,Fall 2022,52.0,B
E2096,STU1175,C124,Spring2023,,D
E2097,STU1175,C127,fall 2022,-5.0,A
E2098,STU1175,C118,Spring2023,105.0,B
E2099,STU1175,C119,Fall 2022,,a
E2100,STU1057,C118,Spring2023,-5.0,b
E2101,STU1057,C127,FALL2022,89.0,a
E2102,STU1057,C126,FALL2022,105.0,A
E2103,STU1057,C119,Fall 2023,47.0,b
E2104,STU1160,C122,Spring2023,-5.0,a
E2105,STU1160,C123,fall 2022,,D
E2106,STU1160,C108,Spring2023,,B
E2107,STU1049,C116,Spring 2023,105.0,F
E2108,STU1049,C111,Fall 2023,87.0,Incomplete
E2109,STU1049,C112,Spring 2023,55.0,F
E2110,STU1035,C107,Fall 2022,,C
E2111,STU1035,C127,Spring2023,47.0,Incomplete
E2112,STU1035,C108,FALL2022,105.0,A
E2113,STU1052,C120,Spring2023,-5.0,C
E2114,STU1052,C111,Fall 2022,65.0,C
E2115,STU1052,C116,Spring2023,-5.0,Incomplete
E2116,STU1052,C119,Fall 2023,,b
E2117,STU1103,C115,Fall 2022,,A
E2118,STU1103,C104,fall 2022,-5.0,B
E2119,STU1103,C123,Spring2023,,C
E2120,STU1019,C108,FALL2022,63.0,Incomplete
E2121,STU1019,C109,FALL2022,,a
E2122,STU1019,C116,Spring2023,68.0,C
E2123,STU1019,C120,Spring 2023,83.0,F
